"","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1"
"72",28.6703975,0.37727550000001,-1.62985999999998,-15.1813705,7.56481550000001,-46.2115775,-169.773795999994,69.4381630000134,0.0001715,0.0790389999999999,0.179018999999999,0.000591000000000008,-0.2083865,-0.171552,-0.1602985,-0.16236,-0.165322000000002,-0.167358,717.78427,270.2687105,803.3155745,85.531309,358.4508605,444.864723,368.8206285,21.753039,54.291041,104.0750335,4.573604,168.3242135,72.3124785,9.1655415,130.334385,21.864177,90.6520455,239.44708,11.0195325,315.328588,261.838523,18.010319,3.0303585,130.092678,28.737127,44.01609,5.9639595,14.9871295,5.3721505,8.377821
"84",5.48600050000002,-3.26270100000001,-12.650183,7.22948449999998,8.92699049999999,-17.871146,-177.698786000008,63.6276964999997,-0.000366,0.00344650000000035,0.0476990000000006,0.120659499999999,0.1089875,0.00100750000000005,-0.0339679999999998,-0.0441695000000006,-0.0546794999999989,-0.0659349999999996,692.677668,244.617354,791.191282,98.513616,339.743888,451.447401,378.5587995,21.6056605,51.282938,101.412407,4.586227,151.9434405,72.576635,9.225164,138.44956,23.18069,93.4136435,228.1108275,10.7770595,278.11935,256.5936435,17.71826,2.963687,123.9779185,19.7965205,34.8075285,7.7214495,7.610025,4.873879,7.312643
"96",6.35991749999999,0.287794000000005,1.97914449999999,6.24449900000002,7.7267645,-6.10420400000004,-174.101484499988,59.2073034999921,0.001099,0.1683,0.165901,0.140494,0.120401999999999,0.0811904999999999,0.0671490000000006,0.0624509999999994,0.0605589999999996,0.0592164999999998,671.39198,256.8628705,734.378222,62.9862355,320.0622775,414.315944,339.209516,20.140421,54.966004,98.2743155,4.4057025,139.636569,68.955335,8.7903395,140.384978,21.407353,86.443658,223.794342,10.469283,258.524597,246.4009045,17.0565545,2.8790485,121.5432295,22.317994,36.3584965,6.4016705,10.258275,4.667211,7.3924785
"721",3.40146100000001,8.42473,6.24322899999999,2.8270685,10.3164165,-21.848232,-226.109998,112.338747500005,-0.00236,-0.27651,-0.1352615,-0.0931955000000002,-0.175041999999999,-0.200514500000001,-0.234432999999999,-0.257244500000001,-0.268546499999999,-0.278259,809.838359,351.854398,892.6596835,82.8213345,434.029049,458.630641,329.1606145,48.2627005,81.2073295,132.9107225,4.4212975,191.840785,98.943138,5.9130865,196.1232575,24.097048,113.5653825,310.47655,10.1668275,373.8462255,344.5484935,11.22775,2.795873,174.6705775,19.4369825,32.404915,4.219581,6.1099365,4.065666,9.261359
"841",-8.6012375,4.5124105,-3.35449,19.0930505,12.115851,-0.580812999999978,-205.040192,96.9977344999934,-3.50000000000003e-06,0.017288,0.1487715,0.1963315,0.1662225,0.00516900000000042,-0.0425650000000006,-0.0551025000000003,-0.0641930000000004,-0.0727374999999997,759.358199,318.7567235,832.156373,72.7981855,385.9817085,446.174648,315.4540595,48.2602815,82.4603375,123.2880075,4.0118695,164.9185365,88.4482255,5.3150995,190.5473475,25.015632,110.6374405,285.842486,9.1476385,318.6453315,305.5667815,10.0089735,2.5156045,160.776205,13.9360065,25.6586735,4.6656595,3.3945365,3.2719845,7.2694785
"961",-8.126079,7.42080900000001,1.002329,17.2807175,12.120113,5.54255949999998,-178.517657499993,82.338398500011,-0.0002385,-0.156107,-0.205825,-0.119973,-0.0259150000000004,0.0144539999999997,0.0130360000000005,0.00807950000000002,0.00954950000000032,0.0115270000000001,680.602474,298.651131,723.5898535,42.9873705,340.0233325,383.5665185,265.1374225,39.3737675,79.055323,112.5561,3.565221,143.152274,76.1566845,4.593078,176.444472,23.8187385,98.090914,260.8245615,8.125618,276.4252655,262.977103,8.6447225,2.2345425,146.587356,12.253751,21.379632,3.311347,3.567645,2.592968,6.0930915
"722",19.167985,6.03841199999999,12.274966,-7.68186799999998,10.220792,65.492536,-850.476245999991,258.985782999996,0.001664,0.360965,0.635725,0.575511,0.207018,-0.046735,-0.0706210000000009,-0.0910340000000005,-0.106558000000001,-0.119994999999999,610.230489,333.744459,1052.619101,442.388595,779.876658,272.742439,182.784133,24.657699,65.300604,121.464904,4.361231,347.415156,293.463316,13.172018,172.175396,23.815586,100.272227,283.703891,10.022765,617.90202,1026.343133,25.078747,2.756274,158.941372,37.004681,63.425007,10.455712,14.155669,8.352143,14.496906
"842",7.29320300000001,5.02399600000001,4.517043,28.141632,11.755889,31.692814,-738.108674000003,233.102263000008,-0.000952,-0.046616,0.114618,0.262502,0.255858,-0.023479,-0.0934270000000001,-0.0652589999999993,-0.0635329999999996,-0.0733139999999999,603.515892,331.434651,995.010976,391.495056,724.07401,270.936976,184.222607,24.414123,62.300233,115.63678,4.031799,330.000011,262.421145,11.984273,184.573061,24.568788,105.458279,265.574107,9.127727,578.571091,903.210678,22.471343,2.51013,148.553369,23.733799,46.071972,10.919763,5.080372,7.106441,11.546979
"962",1.554733,4.92713900000001,2.053223,23.465123,11.26868,20.9026530000001,-659.513672000001,211.257818999991,0.002506,-0.00835299999999983,0.0494210000000002,0.129017,0.188126,0.112657,0.138472,0.0889780000000009,0.0718829999999997,0.0674010000000003,579.75565,317.491766,933.253972,353.498331,674.185216,259.068818,177.113259,23.45427,58.501282,115.100289,3.78177,309.008048,235.447947,10.847115,184.288679,23.359197,101.308248,265.633764,8.587759,543.092807,812.670937,20.394756,2.36164,148.493261,24.416497,43.690164,8.574275,7.722465,5.684617,11.009404
"723",44.149477,13.9854735,27.6607645,13.205206,6.79485949999997,28.7273395,-598.90621049999,239.043517500002,0.011376,-0.8491625,0.311139,0.4691515,0.288505,-0.216042499999999,-0.229352,-0.238749,-0.2438905,-0.248523,961.1567825,429.6707225,1148.462676,187.305905,626.866443,521.596243,379.321305,46.585765,95.6891655,129.04548,5.9445485,255.8548165,227.8222225,8.19937,194.2875455,24.2590955,125.327987,310.0491745,13.825277,557.102746,801.534931,15.7171805,3.801953,177.9900645,34.589067,67.8827085,18.357508,4.64449,14.6541395,15.2904365
"843",10.453149,9.28276550000001,9.27711150000002,46.3524515,10.703383,27.1640105,-509.567069000012,209.548675999991,-0.0049065,0.380767,0.0758134999999998,0.0939825000000001,0.0939854999999996,-0.141389,-0.204535,-0.217328,-0.219173000000001,-0.221182,946.052001,406.8852105,1110.52077,164.468764,573.2249975,537.295753,393.2367855,47.818176,96.24081,129.688042,5.2070195,232.6352695,198.487214,7.2074555,216.2643,26.68386,134.9232115,308.8373235,11.9778355,501.3594725,691.0914655,13.677631,3.29389,176.8265215,25.591874,51.493211,13.5693615,1.7747115,11.1205475,12.6966135
"963",-5.46477250000001,5.5512705,-2.24637000000001,24.982695,11.83617,22.7160965,-471.812033499999,198.785895500012,-0.0071675,1.2322825,0.5607555,0.514058,0.429307000000001,0.088819,0.0569680000000004,0.0555840000000005,0.0550520000000008,0.0546164999999998,901.23625,373.7497145,1087.4475975,186.211349,562.312126,525.1354685,383.03096,47.32811,94.776386,136.6910855,4.992745,228.4554405,185.371237,6.801624,213.976001,27.500583,134.4319785,327.5517755,11.538669,494.5268295,648.3133585,12.964388,3.1731435,187.2577,27.110969,55.1000555,14.6003545,4.3545225,9.809362,12.947121
"724",-1.72597,36.4744935,4.69835600000002,-15.1699465,8.37030150000004,68.273497,-1123.8250765,367.244292500007,0.0193345,-0.9397545,0.359624,0.515053,0.3540455,-0.143364499999999,-0.142198,-0.158341500000001,-0.176671499999999,-0.192717999999999,631.838578,357.563344,1213.347469,581.50887,942.0719835,271.2754845,179.7044655,38.391592,53.1794375,124.691169,6.087933,421.323675,378.8673505,11.101839,203.3674,27.076285,87.6729395,310.27173,14.644677,804.0128445,1364.7042275,21.8576695,4.027284,180.0991745,75.4378265,133.591569,28.099005,14.6572755,30.836976,29.9435885
"844",-6.55168449999999,31.485376,0.917109499999981,22.9807285,15.052404,25.52573,-922.374726499998,311.225158500005,-0.0047185,0.000997499999999998,-0.46212,-0.0676485000000007,-0.0792204999999999,-0.521885000000001,-0.6306665,-0.645804,-0.630245,-0.616953000000001,612.5799345,347.1724725,1108.7231775,496.1432545,845.360607,263.3625625,173.4252465,39.978839,49.9585,113.644918,5.3785995,387.199909,329.329583,9.8076115,204.1460105,32.2510445,84.9246915,270.927455,12.3613705,707.0275665,1134.2494365,18.4302245,3.3993835,157.135385,29.0629935,76.022864,31.8908535,2.4155155,10.346003,16.301511
"964",-10.632165,18.796703,-11.2310095,-3.0037615,18.713208,8.02436550000004,-923.485121000005,314.00937249999,-0.0166655,1.111015,0.7364555,0.333633000000001,0.323799,0.0278055000000013,-0.0535109999999985,-0.0650459999999988,-0.0637775000000005,-0.0593085000000002,538.657575,308.4840485,1081.2289525,542.571395,851.217314,230.011667,150.0958585,36.6122665,43.3035515,115.9760045,5.597982,394.7386815,325.0580125,9.8466465,190.0537905,37.4779145,84.0187575,282.6973715,13.1430605,736.0354755,1143.0982715,18.9035045,3.614356,164.006093,46.3896695,97.8103155,28.313268,8.500509,15.133091,22.7561055
"725",-1.7780735,15.0870865,9.99568199999999,-6.32257850000002,3.78921250000002,39.2477125,-869.356759500006,294.853163000007,0.252017,-1.437294,-0.1276195,-0.00480300000000033,-0.13216,-0.6260715,-0.641812,-0.650522,-0.653942,-0.655535,697.346144,392.097802,1052.051263,354.705104,749.674816,302.376434,199.824071,28.3095405,74.242834,134.9423285,5.9581845,329.218648,268.7647555,10.7909055,221.7807585,23.314944,123.6972835,355.296888,16.028491,713.2140075,1089.634485,23.9513725,4.407835,196.866975,162.3400595,198.563992,6.1661845,54.360602,76.770653,31.208792
"845",-5.75446599999998,15.1080315,8.27561850000001,34.008265,6.83886099999995,20.061066,-707.501955,246.0551595,-0.0864435,-0.079079,-1.803809,-0.319748,-0.2732555,-0.8746775,-1.000696,-1.0256535,-1.011643,-0.9995295,682.6809885,384.370298,990.723215,308.0422055,695.229377,295.4938265,194.528723,28.825743,72.1393555,129.7372875,5.290018,308.526523,241.8215285,9.85402,222.736647,23.3090635,120.695179,312.9194875,12.9744285,609.4784895,895.206769,19.944386,3.5679635,172.96111,77.9343045,108.7818515,12.9009415,37.3539145,21.139393,19.440985
"965",-13.6890945,11.21107,-14.8225675,-0.43231099999997,7.84105900000003,9.41486799999996,-697.052734500001,244.115310499998,-0.177723,1.2955275,1.924059,0.355168,0.1793375,0.0820160000000003,0.0526854999999999,0.0600375,0.0735744999999994,0.0894330000000005,584.0578705,333.0144185,945.606696,361.548792,693.36224,252.2444375,164.5895855,27.2202965,60.434558,134.260048,5.2627565,309.465282,234.65678,9.7173675,206.221709,24.657432,119.4360415,329.790065,13.117878,626.5495645,889.532055,20.0706095,3.6074055,182.165667,126.5528005,134.695491,9.685503,57.119229,38.323713,31.1098735
