"","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1"
"6",19.5474281225298,1.77810190277341,7.60557377998769,36.4815916468324,7.67615185769884,48.8395724426025,73.6489365164759,28.9911451096941,-0.00491792320179565,0.0163485387472184,0.0204266110371742,0.0472817158093157,0.0759422701375047,0.0260749400345373,0.0324260802077565,0.0334421007520671,0.03379551409834,0.034784579682413,31.589754033978,26.8845684452402,48.9217377146655,53.0162231293607,51.3374802846633,39.225012716648,43.481941074765,7.32197295501844,9.69838957751624,21.1906002888115,3.15187390951183,28.4374961828751,23.0814950019815,7.84484578323322,13.6896045484666,19.0772647952342,3.1071248496293,7.14065639195308,5.15407036410971,4.44088755080064
"7",13.0043156369347,1.66935214698195,3.77054798300279,6.12382772750129,7.36403860366704,7.41098205746795,70.7664269394048,30.5926208841135,-0.00326525139191168,0.0519430593867285,-0.00314121323274086,0.0270401127280036,0.0423538521364345,-0.0510670098325298,-0.041198802387763,-0.0326376231827293,-0.027743145730605,-0.0249059230370173,33.0841280106263,32.5532155661414,48.2953047732999,52.8808634595352,49.9467955480345,44.3110610046343,50.1171354054382,7.92297358463964,11.1913229528091,19.218400569009,2.89733452577712,25.7762843908272,23.0124905318597,7.85552240896872,9.60108098045769,14.8733534627128,3.81239877079346,4.37859466040452,4.35601202336523,3.56437031537756
"8",6.47408062850935,1.01051016135431,2.74388209590324,2.15578166327904,6.26766115594551,1.01587819356692,65.8597289814784,27.8017953990057,-0.00304619536128314,0.0504363335527325,0.0839469993161441,0.0461946881725941,0.0282504108888115,0.0352356140384061,0.0257282271166257,0.0214750278794904,0.0198132386796472,0.0190139014147673,37.0863888229803,20.8913471631277,49.9819018309929,54.1293356134261,49.6128724335151,42.4898986532218,45.4807898029323,6.40263450195517,10.4607873317843,18.608987004624,2.60583327146851,25.3625402210196,21.9207851334727,7.50689850557337,10.6941755714014,15.8879543227577,3.23935321960711,5.5192891883693,4.13466691332915,3.7967231791795
"61",11.0385607979004,4.99429193651717,7.9378411337731,43.6701164709466,8.87439620392667,65.7585891085921,115.097537059799,41.5442177350087,-0.00257386240063736,-0.106450410796215,0.117216504889841,0.207013194684589,0.170240474417451,0.0164495046070106,0.0309683251833412,0.0355434611738294,0.0373765913980494,0.0386330292513027,46.4659219375144,24.3749956099895,62.1208456072078,81.1628872575798,70.7665137812108,42.7504250083453,40.9556136743604,12.1267170036642,16.09559798581,22.3594669830885,3.5943206365591,39.2958571228324,35.8678806427192,6.68071099268735,11.8159022215933,17.5016364088527,2.38285753065202,4.48272597846681,4.56694606375966,4.33878135349938
"71",4.19701815778998,6.89192140808862,2.72150254827634,12.0159691234394,7.9287501450034,19.0821486251085,100.468200519388,37.634922733951,-0.000550113861521644,0.0132604923442251,0.0707031511780376,0.134970753546896,0.163757847356486,-0.0226790841346822,-0.0160402860232779,-0.0102072087039666,-0.00637141459994439,-0.00359550305644862,47.0450958477641,23.5608414657882,58.6013437384807,74.6128551845292,64.5959804765136,45.2981595242835,42.6020378908281,12.3248227611979,17.7929604162988,18.4845382952162,2.93827513978226,35.9441139338327,32.2077261505055,5.97619508232318,8.72506445613999,13.6265368641807,2.63004199534126,2.89332935511218,3.78039732224108,3.3854602649482
"81",0.836471544306633,4.07970373440062,2.28950601184942,5.48416020504273,6.71794615554744,7.15990279778907,85.854301414646,32.1711929713669,-0.00481407705625108,-0.0340225259590149,-0.0122331042635917,0.032332383745544,0.0527633123008233,0.00764369142023613,0.0122586050812924,0.0156350223966614,0.0178717897317058,0.019489797038812,50.2133905095913,27.7341602380587,56.0667029037083,71.7839169954373,56.1090828005075,40.2993302702191,35.2659344326385,8.91233370600087,17.4420077792588,16.3869041217526,2.40797204867716,31.3049744432337,27.4432808247051,5.13325204371838,7.38798208598752,11.2681405997137,1.91333619664768,2.65639665969434,2.97704256233972,2.90263135648479
"62",11.6757286566763,4.73562817210517,8.19857688869934,38.4206496380556,14.0054902547222,109.215964699871,156.313501907057,56.4102151054055,0.0114218428974402,0.0660258660724298,0.272668645694078,0.355791456587378,0.279937006711096,0.124445401073116,0.138994454135751,0.135099573865906,0.130395813247769,0.126664881436308,68.7217828763637,50.4942716079573,82.4483931331116,108.950842111016,88.2897657872919,41.5387688531453,35.9988886901146,9.15278716396469,15.4405216842044,21.2967663953056,5.78914426717471,50.3863542075699,53.5007042010659,11.2987845590525,17.9741987674604,26.7652856444528,4.93518386103402,7.95440417981384,7.26710699395582,7.4108683198535
"72",6.61914891431043,6.51983505018218,4.07654102755665,12.0475527585505,12.0879098414849,34.9663897538277,143.176538766816,58.9800546030526,-0.00837944506540891,0.0876169786394125,0.0195432313762951,-0.020343799255405,-0.0218396930505442,-0.0321926239175767,-0.0397266746160858,-0.0335753528355243,-0.0281657355276743,-0.0250917826892734,72.0405366917198,40.2702859620069,77.4139419349251,100.423196779394,80.6012593982885,44.1847070768556,38.8758055050038,9.20519854142994,14.4926730351879,19.1291205419918,4.53476439126419,43.6195331965913,47.7414537553237,10.2031266962379,12.3675002053418,19.5788855257798,4.94656300374401,4.38615920121334,6.24151648216329,5.39782155000151
"82",3.77861365671064,4.15201702804507,2.97047227478902,9.57831451225854,9.32874223484975,14.115980458486,121.370741267197,53.0543899778548,-0.00736288002813203,-0.0946888554694321,0.0477068217194296,0.0665064212646622,0.0486944395417317,0.0368177358694166,0.0265040019074858,0.0230040236395659,0.0232590136401267,0.0233506321028967,75.6898921217963,41.0685890572207,75.978896494881,98.7939494346107,75.497451219473,43.8963205945819,37.4429533541856,8.30171016926,13.6049186861306,19.5849044300582,3.71494671612464,40.8055362059832,42.7195766841277,9.244553889684,11.8387084374122,18.3187151247803,3.8825356135861,5.04741841220725,5.10290281432887,5.2997259381196
"63",16.7092576804434,1.34704043415065,7.16060666046932,37.4512424720802,7.28023310021043,84.7292344364037,171.724616717847,53.0612021487073,0.00682823743181047,-0.0963806152838445,0.00255583689249161,0.0610845046474215,0.00260922211412251,0.0467554950898743,0.0654330973771227,0.0619728173751499,0.057217754099117,0.0535076365820812,48.43090401611,22.2546497385403,82.9128724523486,93.6097278942406,88.8350508388136,38.7878903672955,35.102498758409,6.24646590000864,10.5922926420388,21.4532469042047,3.12553130493463,39.2632716372443,54.7789871299512,5.18307717006131,21.175391045652,32.5421244905069,9.00380778239526,5.71454355632073,13.7743383511414,6.92620154882689
"73",12.1634004946155,0.986868363131125,4.35658150173137,10.7038159334126,6.60930104915695,28.0485053414638,152.131967239308,56.9638216105991,-0.0142401353781824,-0.00506191175316506,0.0380361535174627,-0.00371458227531996,0.00102157220838928,-0.0679564153550025,-0.0641452268894849,-0.0529712239778124,-0.0428914907145033,-0.0353686749638209,54.3000954699032,26.063181668747,78.7482189880891,91.1469444026568,85.0143006990652,46.4865553354633,42.2150141528659,7.70211313442715,12.1745125196596,20.0012863194564,2.56789068853018,39.8469925883808,48.3662730892183,4.62030587205196,16.6589856728487,25.7535409807216,7.06768228044218,3.26138320690877,12.4412817350246,5.67406422606193
"83",6.84447691073387,0.566818067228624,3.2474857921763,10.6162420688402,5.47117593998256,12.2122117599708,127.430302620723,51.6340892354998,0.00501149262486854,-0.0310838875617409,0.0640527179019634,0.0764897069047099,0.0723429827076325,0.0771794056132267,0.0656741529661526,0.0596179281144149,0.057535630050189,0.0561548628811668,59.2692397891956,26.4185409823508,82.0361642287385,90.5318800242666,80.511306565809,50.4230030245847,45.2926965345536,7.78310085159764,13.1162488992285,20.3607042271175,2.28667738537503,38.9022970585469,44.1638502911571,4.2724400748062,15.824900307142,25.3734829810371,7.80468430044497,4.6705034388965,10.1760453287228,5.85396614995539
"64",7.00055666177485,2.36694079339605,7.91569404128492,35.4729299994416,10.5915392320375,104.514953732817,193.692685132488,66.6160729370687,0.0267019282452311,-0.205176381378044,-0.0438763625705347,0.0976480811504323,0.0773820963772891,0.221249697419023,0.230836556423001,0.210488806409936,0.188324707232001,0.172028117720062,52.3461657950514,32.482271842896,110.387690741938,124.147869035494,114.284758570793,31.885532329509,28.7160239881847,5.63583804833177,10.8405238638376,25.4898183812838,4.22606294726402,62.2866600738367,65.2577695719747,9.35160104075404,33.9043018326344,47.7974558978125,15.2378560513998,12.819331686019,19.3654795285273,11.6261486991982
"74",4.03589380257012,4.92033424126489,3.96079163938575,10.2406575067534,9.05417266669884,40.1139386056065,164.733601625422,68.3001058099708,0.0215356698048194,-0.643239881955162,-0.33037735389692,-0.202353421305086,-0.147819419447783,-0.195853008827958,-0.186344160531889,-0.160938127042882,-0.138445991088827,-0.122013062516396,58.7261536667757,36.7807675177067,103.030601832199,116.760641318835,105.074327333315,35.0411703105871,30.1081442183906,7.24528022736591,13.6938471721143,23.1952735613357,3.31693794394418,57.4833743007507,57.7435177061637,8.25000921454568,18.8496892632694,28.1179965171464,19.9927174953998,10.0325364651996,8.22177376989555,6.69014951212709
"84",2.0355582130428,5.09788491310545,3.36287814828672,9.43678218604845,7.45757759232789,16.9247287878918,140.404429468674,63.8534353730288,0.0127756517634375,0.268408854279901,0.365585188698024,0.143362905086159,0.112001422853148,0.131492217570877,0.106701157850692,0.0926623696185573,0.0888073559547291,0.0876237635654225,63.0055132610023,42.4314735778487,111.25631234837,125.722167008939,112.719510958825,35.1176884547566,29.3728381739475,7.61416023434595,13.7670696334821,26.5456446981987,3.07050262313487,62.324879806925,56.8172415380189,8.25822004464721,26.4266196276459,36.1903640291172,17.387327300937,13.1766556357392,12.6892383322619,9.26537515494833
"65",4.77408835002963,16.6758371719963,7.52700134757218,38.6101402831167,9.31585623158229,90.838155686897,217.438998393994,72.7031834927194,0.0645253247694482,-0.0927797801210264,0.0304422622971385,0.1331693835887,0.100044977568336,0.169901024485724,0.172841888555407,0.155083366354947,0.135977558816827,0.123908039517328,56.7232106906672,41.1731281797785,107.96843183466,119.396756068698,108.905890282239,31.997692275929,28.3552106392665,15.4914158197916,22.6405534196765,27.3658225899173,3.3838608524715,54.7951644509885,66.4874721537857,10.3328535873288,35.5678902103243,42.6185253533935,4.72281901384138,16.085662884083,22.1620562761331,13.0627223248643
"75",2.64792310541651,22.8646800024504,-1.30702952351292,9.2981427098361,8.47583092580841,35.0286300672526,187.22937466927,74.591624491528,0.111361667662453,-1.15569895563022,-0.514704607518937,-0.317172560881638,-0.187040553654896,-0.153691051940911,-0.137155039220299,-0.114265122180306,-0.0939670002915625,-0.0802637071191992,59.394042263607,43.949860533453,101.224482187958,113.534055500474,101.380642343849,31.4733089544108,27.8501277203931,14.7554149976635,21.3382916168883,26.0147191606277,2.73510301422341,52.4366048714326,60.0263246087974,9.44299367850367,23.80922578684,26.7745276217151,9.5477098881458,17.5981753290876,12.1603395915584,9.53731696999236
"85",0.95974794268446,17.7483418492018,1.00682143383556,8.68192928366244,7.67350851430792,12.9525062851222,158.380612012658,67.8008037315316,-0.0637471459210228,0.39982929816712,0.287229780159701,0.132423659353174,0.118713641029453,0.0876461459723799,0.0633787397081826,0.0542817788648176,0.0533065029390531,0.0552054121717849,59.6996731370962,41.2055680280289,107.362501665253,117.754281125106,106.906729855639,32.2222472935467,27.0017074406348,14.6020422909976,20.9154714115847,29.0393732491953,2.48483261700043,55.9407522060303,57.7269375397098,9.19677546001597,28.901506368963,32.1609617920079,7.12477194251288,18.1195169867996,15.4652120569443,10.627913569188
